"data";"valor"
"01/03/2005";"16,99"
"01/04/2005";"17,25"
"01/05/2005";"17,44"
"01/06/2005";"17,55"
"01/07/2005";"17,67"
"01/08/2005";"17,90"
"01/09/2005";"18,30"
"01/10/2005";"18,55"
"01/11/2005";"18,62"
"01/12/2005";"18,68"
"01/01/2006";"18,73"
"01/02/2006";"18,96"
"01/03/2006";"19,28"
"01/04/2006";"19,57"
"01/05/2006";"19,59"
"01/06/2006";"19,54"
"01/07/2006";"19,47"
"01/08/2006";"19,61"
"01/09/2006";"19,52"
"01/10/2006";"19,44"
"01/11/2006";"19,26"
"01/12/2006";"19,49"
"01/01/2007";"19,41"
"01/02/2007";"19,27"
"01/03/2007";"18,93"
"01/04/2007";"18,75"
"01/05/2007";"18,58"
"01/06/2007";"18,89"
"01/07/2007";"19,19"
"01/08/2007";"19,37"
"01/09/2007";"19,31"
"01/10/2007";"19,29"
"01/11/2007";"19,44"
"01/12/2007";"19,38"
"01/01/2008";"19,63"
"01/02/2008";"19,83"
"01/03/2008";"20,26"
"01/04/2008";"20,43"
"01/05/2008";"20,45"
"01/06/2008";"20,43"
"01/07/2008";"20,44"
"01/08/2008";"20,54"
"01/09/2008";"20,65"
"01/10/2008";"20,77"
"01/11/2008";"20,78"
"01/12/2008";"20,88"
"01/01/2009";"20,89"
"01/02/2009";"20,99"
"01/03/2009";"21,07"
"01/04/2009";"21,15"
"01/05/2009";"21,34"
"01/06/2009";"21,69"
"01/07/2009";"21,77"
"01/08/2009";"21,86"
"01/09/2009";"21,98"
"01/10/2009";"22,16"
"01/11/2009";"22,22"
"01/12/2009";"22,20"
"01/01/2010";"22,30"
"01/02/2010";"22,29"
"01/03/2010";"22,37"
"01/04/2010";"22,50"
"01/05/2010";"22,72"
"01/06/2010";"23,05"
"01/07/2010";"23,06"
"01/08/2010";"23,08"
"01/09/2010";"23,18"
"01/10/2010";"23,17"
"01/11/2010";"23,55"
"01/12/2010";"23,95"
"01/01/2011";"24,18"
"01/02/2011";"24,03"
"01/03/2011";"23,98"
"01/04/2011";"23,89"
"01/05/2011";"23,75"
"01/06/2011";"23,52"
"01/07/2011";"23,38"
"01/08/2011";"23,58"
"01/09/2011";"24,05"
"01/10/2011";"24,55"
"01/11/2011";"24,54"
"01/12/2011";"24,56"
"01/01/2012";"24,51"
"01/02/2012";"24,64"
"01/03/2012";"24,75"
"01/04/2012";"24,62"
"01/05/2012";"24,59"
"01/06/2012";"24,40"
"01/07/2012";"24,04"
"01/08/2012";"23,78"
"01/09/2012";"23,56"
"01/10/2012";"23,48"
"01/11/2012";"23,55"
"01/12/2012";"23,60"
"01/01/2013";"23,62"
"01/02/2013";"23,58"
"01/03/2013";"23,16"
"01/04/2013";"23,00"
"01/05/2013";"22,70"
"01/06/2013";"22,55"
"01/07/2013";"22,54"
"01/08/2013";"22,63"
"01/09/2013";"22,72"
"01/10/2013";"22,69"
"01/11/2013";"22,79"
"01/12/2013";"23,05"
"01/01/2014";"23,01"
"01/02/2014";"22,94"
"01/03/2014";"22,86"
"01/04/2014";"22,92"
"01/05/2014";"22,99"
"01/06/2014";"23,09"
"01/07/2014";"23,16"
"01/08/2014";"23,05"
"01/09/2014";"23,06"
"01/10/2014";"23,13"
"01/11/2014";"23,47"
"01/12/2014";"23,83"
"01/01/2015";"24,25"
"01/02/2015";"24,45"
"01/03/2015";"24,34"
"01/04/2015";"24,54"
"01/05/2015";"24,54"
"01/06/2015";"24,62"
"01/07/2015";"24,66"
